latitude,longitude,bright_ti4,acq_date,frp,country
35.01538,70.99545,330.97,2024-01-16,1.64,Afghanistan
35.96702,68.68713,299.05,2024-05-29,0.88,Afghanistan
37.46264,69.40412,334.58,2024-09-07,31.75,Afghanistan
36.68196,69.06691,336.56,2024-06-03,3.94,Afghanistan
33.59818,70.15001,343.06,2024-01-07,15.49,Afghanistan
35.05509,70.59323,334.2,2024-06-01,2.79,Afghanistan
34.78653,70.78096,303.6,2024-01-23,0.83,Afghanistan
33.59233,70.16714,306.08,2024-02-13,1.98,Afghanistan
35.96854,68.6871,301.13,2024-05-12,1.63,Afghanistan
34.19858,62.35017,367.0,2024-09-17,4.0,Afghanistan
33.68055,70.121,299.42,2024-03-18,0.63,Afghanistan
35.96664,68.6847,302.8,2024-09-21,1.1,Afghanistan
30.53223,63.8656,333.01,2024-10-28,2.38,Afghanistan
34.42842,69.88856,304.97,2024-09-17,0.94,Afghanistan
37.26826,68.93245,333.57,2024-06-09,3.9,Afghanistan
34.36216,65.54475,330.57,2024-09-07,2.24,Afghanistan
34.34643,62.19859,295.74,2024-03-02,0.31,Afghanistan
33.46046,69.90746,336.06,2024-01-21,3.79,Afghanistan
37.53662,69.54088,333.07,2024-01-09,3.72,Afghanistan
34.96559,70.50243,335.19,2024-04-09,4.9,Afghanistan
34.83274,70.84175,298.83,2024-07-01,0.38,Afghanistan
30.58852,63.9743,331.22,2024-11-25,2.57,Afghanistan
35.96675,68.68781,299.99,2024-04-25,1.31,Afghanistan
37.46162,69.40112,330.15,2024-02-09,2.6,Afghanistan
37.46087,69.40122,345.98,2024-03-08,108.15,Afghanistan
35.96769,68.68465,308.69,2024-06-11,1.29,Afghanistan
35.41074,68.90633,340.93,2024-07-26,5.45,Afghanistan
35.31668,71.45097,299.64,2024-07-08,0.99,Afghanistan
35.19009,70.79383,298.59,2024-07-02,0.53,Afghanistan
35.96866,68.68542,297.47,2024-04-08,0.82,Afghanistan
33.67844,70.08901,328.39,2024-02-13,3.22,Afghanistan
31.97987,64.80247,345.72,2024-12-29,6.09,Afghanistan
32.30154,62.10256,336.91,2024-10-28,2.45,Afghanistan
35.37958,71.3276,338.09,2024-07-04,5.89,Afghanistan
32.38986,69.15844,333.22,2024-03-19,1.85,Afghanistan
34.19095,62.2035,300.79,2024-08-21,0.52,Afghanistan
37.47533,69.41607,329.1,2024-02-08,29.26,Afghanistan
34.57557,71.04823,339.88,2024-10-02,6.91,Afghanistan
37.3629,66.54662,338.58,2024-02-06,4.47,Afghanistan
31.61296,65.85732,339.87,2024-06-30,11.26,Afghanistan
35.96569,68.68592,296.66,2024-12-29,1.03,Afghanistan
33.59292,70.1618,295.84,2024-02-13,0.61,Afghanistan
35.21672,71.29776,300.61,2024-06-03,2.49,Afghanistan
32.83669,64.338,339.93,2024-03-24,3.3,Afghanistan
33.69974,70.11718,328.24,2024-02-20,3.24,Afghanistan
30.58807,63.97483,332.48,2024-11-25,3.41,Afghanistan
35.96666,68.68581,298.07,2024-12-24,0.92,Afghanistan
34.01057,70.92241,298.88,2024-05-20,0.34,Afghanistan
34.58431,71.04751,323.01,2024-10-02,2.58,Afghanistan
34.9165,70.90847,303.54,2024-11-04,0.76,Afghanistan
33.1979,70.11833,339.63,2024-01-05,4.2,Afghanistan
36.68693,69.00864,332.54,2024-06-09,3.96,Afghanistan
37.23952,67.6582,335.52,2024-03-16,5.61,Afghanistan
34.65612,70.65276,335.18,2024-03-24,5.04,Afghanistan
35.48138,63.88272,296.19,2024-07-11,0.31,Afghanistan
37.47663,69.42175,339.19,2024-02-08,19.52,Afghanistan
35.96627,68.6842,305.31,2024-09-19,0.97,Afghanistan
34.2564,70.33386,299.28,2024-11-02,0.82,Afghanistan
34.21519,65.61978,339.65,2024-09-20,6.11,Afghanistan
34.56228,71.00167,299.39,2024-10-01,1.53,Afghanistan
33.36661,69.95129,337.96,2024-03-09,4.53,Afghanistan
33.13221,69.99779,311.15,2024-06-01,2.13,Afghanistan
33.24059,69.67171,346.17,2024-11-07,48.16,Afghanistan
31.46305,65.90691,335.18,2024-05-06,5.41,Afghanistan
34.79691,68.82172,317.14,2024-08-05,1.73,Afghanistan
32.60914,65.89328,336.39,2024-04-29,2.01,Afghanistan
33.56369,70.09792,304.39,2024-01-20,1.02,Afghanistan
35.96652,68.68589,302.68,2024-12-30,1.09,Afghanistan
33.71436,70.09134,332.62,2024-03-19,2.11,Afghanistan
30.84776,66.24471,343.7,2024-09-13,5.32,Afghanistan
34.56845,71.02134,315.6,2024-09-30,1.3,Afghanistan
35.18423,70.96847,306.46,2024-05-18,1.22,Afghanistan
33.60444,67.74104,333.36,2024-09-14,5.56,Afghanistan
33.6777,70.09846,300.31,2024-02-13,1.01,Afghanistan
30.55476,63.53762,331.15,2024-12-19,2.45,Afghanistan
36.70133,65.95995,300.19,2024-08-29,0.68,Afghanistan
35.96579,68.68356,302.55,2024-09-22,0.93,Afghanistan
34.38023,70.38589,303.68,2024-10-22,0.43,Afghanistan
35.96978,68.68613,300.21,2024-05-07,1.33,Afghanistan
34.55566,69.27702,299.67,2024-08-24,0.32,Afghanistan
33.4301,69.74093,308.52,2024-02-12,1.46,Afghanistan
35.28336,68.27116,339.34,2024-09-19,4.65,Afghanistan
33.68739,70.0966,344.82,2024-01-05,4.19,Afghanistan
34.58693,71.06418,303.66,2024-10-02,0.71,Afghanistan
34.80403,70.69791,309.73,2024-10-03,1.33,Afghanistan
37.23615,68.97746,333.81,2024-06-08,2.73,Afghanistan
36.70002,65.96004,296.56,2024-09-08,0.55,Afghanistan
35.24553,71.22711,313.72,2024-01-05,2.46,Afghanistan
36.1986,68.71472,339.51,2024-06-05,2.56,Afghanistan
37.39529,69.39499,296.82,2024-10-10,0.36,Afghanistan
37.22924,67.62944,349.05,2024-02-15,7.77,Afghanistan
35.96909,68.68368,296.59,2024-11-16,1.18,Afghanistan
33.6839,70.1218,297.87,2024-03-18,0.41,Afghanistan
31.6151,65.85616,348.75,2024-06-04,4.62,Afghanistan
35.96487,68.68514,299.92,2024-05-01,1.34,Afghanistan
36.67001,69.10046,367.0,2024-06-05,8.46,Afghanistan
37.54118,69.54276,326.59,2024-02-02,3.59,Afghanistan
34.65149,69.0715,339.56,2024-05-21,2.27,Afghanistan
31.61427,65.85776,343.04,2024-08-16,3.88,Afghanistan
34.40122,68.86713,319.67,2024-09-22,4.25,Afghanistan
37.21182,67.77161,331.25,2024-03-18,4.27,Afghanistan
33.60452,69.99532,339.63,2024-12-09,4.05,Afghanistan
33.58223,70.15773,325.83,2024-02-14,4.62,Afghanistan
33.61424,70.01139,309.71,2024-01-05,2.0,Afghanistan
36.70064,65.96037,296.49,2024-09-28,0.52,Afghanistan
36.0107,68.59686,341.5,2024-06-08,27.75,Afghanistan
33.59257,70.16149,300.59,2024-02-13,1.98,Afghanistan
35.04041,71.04558,330.43,2024-01-05,2.99,Afghanistan
33.42517,69.74046,308.93,2024-02-12,1.89,Afghanistan
33.58069,69.98719,332.99,2024-11-02,2.55,Afghanistan
31.6165,65.8549,350.7,2024-06-15,6.55,Afghanistan
35.96669,68.68676,307.99,2024-05-12,1.48,Afghanistan
34.77141,63.06776,301.99,2024-07-21,0.86,Afghanistan
